cust_id,lookalikes
C0001,"[('C0194', 0.6789089541059682), ('C0065', 0.6514382100561661), ('C0104', 0.650884055221441)]"
C0002,"[('C0030', 0.6229969294535996), ('C0091', 0.5832436478850827), ('C0109', 0.5800420789651985)]"
C0003,"[('C0134', 0.634217299846901), ('C0067', 0.6222689516399579), ('C0181', 0.6064060020720903)]"
C0004,"[('C0146', 0.58887090833556), ('C0133', 0.5874965209778187), ('C0175', 0.5832941495989341)]"
C0005,"[('C0096', 0.743097578319849), ('C0055', 0.7155957453103408), ('C0003', 0.5749666842386968)]"
C0006,"[('C0178', 0.6364090499919257), ('C0171', 0.6182748356362165), ('C0126', 0.6113227244374664)]"
C0007,"[('C0079', 0.6932942582907804), ('C0020', 0.6679757773384571), ('C0026', 0.5885406717038335)]"
C0008,"[('C0088', 0.5837443613268414), ('C0134', 0.5750759362558904), ('C0165', 0.568981865907976)]"
C0009,"[('C0140', 0.7150761646035357), ('C0112', 0.6723673988346393), ('C0162', 0.6556242842900188)]"
C0010,"[('C0077', 0.6709184504486101), ('C0094', 0.6571350611372349), ('C0143', 0.5896921492766355)]"
C0011,"[('C0135', 0.647704222734127), ('C0173', 0.5861577220561844), ('C0107', 0.5708382998981811)]"
C0012,"[('C0101', 0.6412364606888188), ('C0164', 0.6083876752336039), ('C0137', 0.5837684285013454)]"
C0013,"[('C0169', 0.71600692826568), ('C0171', 0.6145155573491523), ('C0051', 0.598362282567519)]"
C0014,"[('C0128', 0.9502809379906497), ('C0159', 0.5999012895714483), ('C0058', 0.3999836121754148)]"
C0015,"[('C0073', 0.7750924148857421), ('C0036', 0.7021195667501823), ('C0059', 0.5227675582467335)]"
C0016,"[('C0187', 0.8042736932700812), ('C0064', 0.7036656286500367), ('C0196', 0.6592161264543492)]"
C0017,"[('C0037', 0.6399873809210299), ('C0146', 0.6132810973687729), ('C0024', 0.5833482602118147)]"
C0018,"[('C0177', 0.6272357866102026), ('C0026', 0.5941702140695179), ('C0064', 0.5649956731746638)]"
C0019,"[('C0083', 0.692993919716852), ('C0039', 0.6821716249041196), ('C0064', 0.6594272785083659)]"
C0020,"[('C0007', 0.6679757773384571), ('C0026', 0.569498029262267), ('C0117', 0.5538267073064751)]"
